ExchangeId,Effectivedate,Symbol,Open,High,Low,Close,Volume
NSE,02-01-2015,RELIANCE,444.05,448,442.15,442.8,3351654
NSE,05-01-2015,RELIANCE,442.5,445.45,437.05,437.9,4619182
NSE,06-01-2015,RELIANCE,435,436.5,416,418.05,8516086
NSE,07-01-2015,RELIANCE,418.55,429.4,418.5,427.15,9472630
NSE,08-01-2015,RELIANCE,430.05,431.45,420.1,421,9084914
NSE,09-01-2015,RELIANCE,424.2,431,422.5,430.15,6122732
NSE,12-01-2015,RELIANCE,430.25,430.5,420.8,425.15,4617432
NSE,13-01-2015,RELIANCE,426.5,427.5,420.25,421.6,4548216
NSE,14-01-2015,RELIANCE,421.5,423.5,415.6,417.5,5202572
NSE,15-01-2015,RELIANCE,420,435.55,420,432.1,7738494
NSE,16-01-2015,RELIANCE,430,437.5,426,434.85,8748776
NSE,19-01-2015,RELIANCE,435.1,443,429.4,439.8,6098582
NSE,20-01-2015,RELIANCE,440.75,452.8,439.4,451.5,6108346
NSE,21-01-2015,RELIANCE,452.5,455.7,446,453.4,7810366
NSE,22-01-2015,RELIANCE,452.6,453.6,439.75,441.9,10844730
NSE,23-01-2015,RELIANCE,445,448.9,438.5,443.45,8265794
NSE,27-01-2015,RELIANCE,446.45,448.35,440.25,444.5,8201508
NSE,28-01-2015,RELIANCE,443.05,454.9,443.05,453.4,8822454
NSE,29-01-2015,RELIANCE,453.55,467.25,453.45,464.7,16511776
NSE,30-01-2015,RELIANCE,465,465.6,454.5,457.6,9941906
NSE,02-02-2015,RELIANCE,458,459.95,452.85,454,8824550
NSE,03-02-2015,RELIANCE,456.6,470.4,456.6,468.8,7814040
NSE,04-02-2015,RELIANCE,469.55,471.9,462.95,464.4,6433654
NSE,05-02-2015,RELIANCE,468,469.95,458.8,461.85,5653156
NSE,06-02-2015,RELIANCE,462.05,465,451.5,454.95,4135456
NSE,09-02-2015,RELIANCE,450.6,459,446,448.35,4041210
NSE,10-02-2015,RELIANCE,449,452.25,430.65,441,6240782
NSE,11-02-2015,RELIANCE,443,452.4,441.5,450.35,4471548
NSE,12-02-2015,RELIANCE,454,457,443.6,454.6,3981748
NSE,13-02-2015,RELIANCE,457,460.4,454.5,458.75,3380142
NSE,16-02-2015,RELIANCE,459.35,462.1,450,451.4,5607922
NSE,18-02-2015,RELIANCE,450,454,447.2,450.8,4496248
NSE,19-02-2015,RELIANCE,453.5,453.8,443.8,451,4366230
NSE,20-02-2015,RELIANCE,447.6,448,435.65,436.55,8556874
NSE,23-02-2015,RELIANCE,435,438.4,423.55,425.7,6448086
NSE,24-02-2015,RELIANCE,427.1,428.4,418.5,420.7,9118740
NSE,25-02-2015,RELIANCE,424.4,428.25,420.5,421.6,6982812
NSE,26-02-2015,RELIANCE,423.05,425,418.3,421,9810676
NSE,27-02-2015,RELIANCE,423.8,430.5,422.3,427.8,8530440
NSE,28-02-2015,RELIANCE,431.4,434.2,423.3,432.6,4187552
NSE,02-03-2015,RELIANCE,434.5,437.75,427.8,432.1,6665262
NSE,03-03-2015,RELIANCE,434.5,453.2,433.7,450.4,9434508
NSE,04-03-2015,RELIANCE,453,454.8,440,443.9,6617962
NSE,05-03-2015,RELIANCE,446.25,449.4,439.1,442.5,4899316
NSE,09-03-2015,RELIANCE,442.55,445.9,432.1,434.8,6430224
NSE,10-03-2015,RELIANCE,434.5,437.9,427.7,429.6,6964500
NSE,11-03-2015,RELIANCE,430.5,434.8,426.2,428,5319530
NSE,12-03-2015,RELIANCE,429,433.7,427.8,431.9,5386508
NSE,13-03-2015,RELIANCE,434.5,434.8,423.5,425.05,5913976
NSE,16-03-2015,RELIANCE,425.75,427,420.15,421.05,6327178
NSE,17-03-2015,RELIANCE,425.3,429.95,420.5,428.4,8718200
NSE,18-03-2015,RELIANCE,428.5,436.1,427.35,434.3,4237880
NSE,19-03-2015,RELIANCE,437.8,438.35,427.05,428.1,6370436
NSE,20-03-2015,RELIANCE,428.95,430.6,424.3,427.05,4757144
NSE,23-03-2015,RELIANCE,428.25,432,419.05,421,6058224
NSE,24-03-2015,RELIANCE,421.05,427.15,421.05,424,4223500
NSE,25-03-2015,RELIANCE,424.5,424.75,420.5,422.45,4692786
NSE,26-03-2015,RELIANCE,420.55,424.6,412.05,414.65,9427386
NSE,27-03-2015,RELIANCE,416.95,417.5,400.7,405.85,10664284
NSE,30-03-2015,RELIANCE,408.3,408.85,398.2,405.4,7922962
NSE,31-03-2015,RELIANCE,409,416.45,409,413,9250942
NSE,01-04-2015,RELIANCE,412.45,419.5,406.55,418,6669386
NSE,06-04-2015,RELIANCE,418,419,410.7,412.3,5638734
NSE,07-04-2015,RELIANCE,413,418.05,413,416.4,9726422
NSE,08-04-2015,RELIANCE,416.75,434.75,416.45,432.95,11347420
NSE,09-04-2015,RELIANCE,432.75,449.5,429.4,447.55,12469862
NSE,10-04-2015,RELIANCE,447.5,454.4,444.55,452.2,11576924
NSE,13-04-2015,RELIANCE,453.4,462.4,449.4,461.25,9224402
NSE,15-04-2015,RELIANCE,460.5,469.8,453.6,461.8,10163386
NSE,16-04-2015,RELIANCE,462.25,469,459.5,464.2,9224384
NSE,17-04-2015,RELIANCE,467.5,472.15,461.3,463.4,10953102
NSE,20-04-2015,RELIANCE,468.65,468.7,439.25,442.8,17202330
NSE,21-04-2015,RELIANCE,445.1,447.75,436.2,438.2,8095048
NSE,22-04-2015,RELIANCE,440.95,443.4,433.5,439.9,6748376
NSE,23-04-2015,RELIANCE,441.9,444.7,434.5,438.5,6097602
NSE,24-04-2015,RELIANCE,438.5,442.2,434.3,439.45,5810518
NSE,27-04-2015,RELIANCE,440,443.75,435.7,437.65,5048454
NSE,28-04-2015,RELIANCE,437.35,441,429.3,432.6,6714572
NSE,29-04-2015,RELIANCE,431,435.3,423.7,425,7492024
NSE,30-04-2015,RELIANCE,425,432.95,424,431.2,15910372
NSE,04-05-2015,RELIANCE,433.1,446.95,430.25,445.5,6893384
NSE,05-05-2015,RELIANCE,446.85,450.9,442.55,446.1,8158936
NSE,06-05-2015,RELIANCE,445,448.4,436,440.1,10257994
NSE,07-05-2015,RELIANCE,437.5,439.2,430,435.4,7650924
NSE,08-05-2015,RELIANCE,435.5,446.9,430.55,444.85,7819576
NSE,11-05-2015,RELIANCE,446.4,449.7,441.7,448,6498166
NSE,12-05-2015,RELIANCE,447.45,447.45,432.6,434.35,7611912
NSE,13-05-2015,RELIANCE,436.7,444.3,428.6,442.55,7635334
NSE,14-05-2015,RELIANCE,443,443.1,435.15,439.1,5636730
NSE,15-05-2015,RELIANCE,440.95,443.5,435.05,437,3808980
NSE,18-05-2015,RELIANCE,437.45,447,436.1,445.8,4501964
NSE,19-05-2015,RELIANCE,445.6,452.4,443.3,447.8,6634872
NSE,20-05-2015,RELIANCE,450.2,455.5,448.85,454.4,3981412
NSE,21-05-2015,RELIANCE,455.6,457.7,447.05,448.4,4918892
NSE,22-05-2015,RELIANCE,448.5,452.8,448.5,451.9,3816904
NSE,25-05-2015,RELIANCE,450,454,446.2,447.25,3025224
NSE,26-05-2015,RELIANCE,447.5,448,441.35,442.3,4347766
NSE,27-05-2015,RELIANCE,443,445.45,440.1,442.65,3693098
NSE,28-05-2015,RELIANCE,442.9,447.1,436,437.9,12132678
NSE,29-05-2015,RELIANCE,439.95,443.2,436.55,438.5,13384696
NSE,01-06-2015,RELIANCE,440,452.45,439,451.1,8958164
NSE,02-06-2015,RELIANCE,452.9,459.4,445.7,449.3,9225142
NSE,03-06-2015,RELIANCE,449.5,455.2,444.25,448.2,7107236
NSE,04-06-2015,RELIANCE,452.1,458.1,446.3,456.35,7283298
NSE,05-06-2015,RELIANCE,454.95,458.5,452.2,453.9,5973490
NSE,08-06-2015,RELIANCE,453.4,455,441.55,442.7,4958862
NSE,09-06-2015,RELIANCE,441.8,445.3,438.7,441.85,4184606
NSE,10-06-2015,RELIANCE,443,454.95,442.5,452.9,6176034
NSE,11-06-2015,RELIANCE,453,454.75,436.8,438.6,6709574
NSE,12-06-2015,RELIANCE,439.5,446.35,439.1,444.9,9849112
NSE,15-06-2015,RELIANCE,447.45,452.5,445,450.9,5878506
NSE,16-06-2015,RELIANCE,449.5,452.5,446.6,452,6368010
NSE,17-06-2015,RELIANCE,452.5,471.2,447,465.6,11992678
NSE,18-06-2015,RELIANCE,466.3,491,466.25,489.5,22568840
NSE,19-06-2015,RELIANCE,491.25,503.2,491.25,498.3,20897502
NSE,22-06-2015,RELIANCE,498.5,504.35,493.25,495.85,8866370
NSE,23-06-2015,RELIANCE,496.3,501.35,495.5,497.5,7318090
NSE,24-06-2015,RELIANCE,497.5,503.2,493.3,495.45,8504668
NSE,25-06-2015,RELIANCE,493.5,504.5,492.5,502.3,12423550
NSE,26-06-2015,RELIANCE,499.95,507.05,497.7,500.35,9585314
NSE,29-06-2015,RELIANCE,493.95,496.9,486,495.4,9220564
NSE,30-06-2015,RELIANCE,494.95,501.4,494,500.05,10599340
NSE,01-07-2015,RELIANCE,500.5,505.2,500.5,502.8,6777156
NSE,02-07-2015,RELIANCE,504.5,509.9,503.55,505.4,7283210
NSE,03-07-2015,RELIANCE,504.9,506.9,501.5,503.6,6323112
NSE,06-07-2015,RELIANCE,498.05,509.45,497.6,507.8,5594680
NSE,07-07-2015,RELIANCE,505.5,508.3,500,501.6,5163694
NSE,08-07-2015,RELIANCE,497.9,504.35,495.8,498.3,6944656
NSE,09-07-2015,RELIANCE,498,500.5,491.6,493.7,7427064
NSE,10-07-2015,RELIANCE,495.55,502,495.1,500.9,7365212
NSE,13-07-2015,RELIANCE,500.9,506.25,497.6,503.5,4507774
NSE,14-07-2015,RELIANCE,504.45,505.75,497.6,498.9,4545572
NSE,15-07-2015,RELIANCE,499.9,507.2,499.8,505.6,6186792
NSE,16-07-2015,RELIANCE,506,513.9,505.6,511.85,6790884
NSE,17-07-2015,RELIANCE,512.6,515.6,509,510.85,4660876
NSE,20-07-2015,RELIANCE,513.9,515,508.95,512.4,2902254
NSE,21-07-2015,RELIANCE,514,514.2,501.4,503.9,3622284
NSE,22-07-2015,RELIANCE,502.5,527,502.3,525.2,7913294
NSE,23-07-2015,RELIANCE,526.75,533.9,520.6,522.65,8522914
